Vignetting Data

File : C:\Projects\MZDDE\zmx\ExUSP5668671C.Narcissus\GH009000.ZMX
Title: Ghost reflection off surface 9.
Date : MON DEC 20 2004


Field values are in Millimeters
Values are fraction of rays which were not vignetted.
Rays traced at each field: 2553

       Field     Fraction
    0.000000     0.774775
    0.400000     0.773991
    0.800000     0.774383
    1.200000     0.773600
    1.600000     0.773208
    2.000000     0.773208
    2.400000     0.773208
    2.800000     0.772425
    3.200000     0.772425
    3.600000     0.772033
    4.000000     0.772033
    4.400000     0.771250
    4.800000     0.771250
    5.200000     0.772033
    5.600000     0.771641
    6.000000     0.771250
    6.400000     0.770858
    6.800000     0.770858
    7.200000     0.770074
    7.600000     0.769683
    8.000000     0.768899
    8.400000     0.768508
    8.800000     0.768116
    9.200000     0.766941
    9.600000     0.766549
   10.000000     0.765374
