Vignetting Data

File : C:\Projects\MZDDE\zmx\ExUSP5668671C.Narcissus\GH013000.ZMX
Title: Ghost reflection off surface 13.
Date : MON DEC 20 2004


Field values are in Millimeters
Values are fraction of rays which were not vignetted.
Rays traced at each field: 2553

       Field     Fraction
    0.000000     0.072464
    0.400000     0.071680
    0.800000     0.071680
    1.200000     0.071680
    1.600000     0.071289
    2.000000     0.071680
    2.400000     0.071680
    2.800000     0.071680
    3.200000     0.072464
    3.600000     0.071680
    4.000000     0.072072
    4.400000     0.071680
    4.800000     0.071680
    5.200000     0.071680
    5.600000     0.072072
    6.000000     0.072072
    6.400000     0.072464
    6.800000     0.072072
    7.200000     0.072072
    7.600000     0.072072
    8.000000     0.072072
    8.400000     0.072072
    8.800000     0.072464
    9.200000     0.072464
    9.600000     0.072464
   10.000000     0.072855
