Vignetting Data

File : C:\Projects\MZDDE\zmx\ExUSP5668671C.Narcissus\GH005000.ZMX
Title: Ghost reflection off surface 5.
Date : MON DEC 20 2004


Field values are in Millimeters
Values are fraction of rays which were not vignetted.
Rays traced at each field: 2553

       Field     Fraction
    0.000000     0.852722
    0.400000     0.853114
    0.800000     0.852331
    1.200000     0.853114
    1.600000     0.853114
    2.000000     0.851939
    2.400000     0.853897
    2.800000     0.852722
    3.200000     0.852722
    3.600000     0.853506
    4.000000     0.852722
    4.400000     0.853114
    4.800000     0.852722
    5.200000     0.853506
    5.600000     0.853114
    6.000000     0.852722
    6.400000     0.854289
    6.800000     0.852722
    7.200000     0.854289
    7.600000     0.853506
    8.000000     0.853506
    8.400000     0.853114
    8.800000     0.852722
    9.200000     0.852331
    9.600000     0.852331
   10.000000     0.851156
