Vignetting Data

File : C:\Projects\MZDDE\zmx\ExUSP5668671C.Narcissus\GH010000.ZMX
Title: Ghost reflection off surface 10.
Date : MON DEC 20 2004


Field values are in Millimeters
Values are fraction of rays which were not vignetted.
Rays traced at each field: 2553

       Field     Fraction
    0.000000     0.381904
    0.400000     0.383470
    0.800000     0.383470
    1.200000     0.383862
    1.600000     0.385037
    2.000000     0.385037
    2.400000     0.383862
    2.800000     0.383470
    3.200000     0.383470
    3.600000     0.381904
    4.000000     0.383079
    4.400000     0.383470
    4.800000     0.383862
    5.200000     0.385037
    5.600000     0.385821
    6.000000     0.383862
    6.400000     0.383862
    6.800000     0.383470
    7.200000     0.381904
    7.600000     0.383079
    8.000000     0.383470
    8.400000     0.383862
    8.800000     0.385037
    9.200000     0.385037
    9.600000     0.383079
   10.000000     0.383470
