Vignetting Data

File : C:\Projects\MZDDE\zmx\ExUSP5668671C.Narcissus\GH008000.ZMX
Title: Ghost reflection off surface 8.
Date : MON DEC 20 2004


Field values are in Millimeters
Values are fraction of rays which were not vignetted.
Rays traced at each field: 2553

       Field     Fraction
    0.000000     0.640031
    0.400000     0.641206
    0.800000     0.639248
    1.200000     0.641206
    1.600000     0.640031
    2.000000     0.640031
    2.400000     0.640031
    2.800000     0.641206
    3.200000     0.641206
    3.600000     0.640031
    4.000000     0.640815
    4.400000     0.640815
    4.800000     0.640815
    5.200000     0.639248
    5.600000     0.640031
    6.000000     0.640031
    6.400000     0.641206
    6.800000     0.639248
    7.200000     0.640815
    7.600000     0.640031
    8.000000     0.640815
    8.400000     0.639640
    8.800000     0.640423
    9.200000     0.638073
    9.600000     0.636898
   10.000000     0.634548
