Vignetting Data

File : C:\Projects\MZDDE\zmx\ExUSP5668671C.Narcissus\GH012000.ZMX
Title: Ghost reflection off surface 12.
Date : MON DEC 20 2004


Field values are in Millimeters
Values are fraction of rays which were not vignetted.
Rays traced at each field: 2553

       Field     Fraction
    0.000000     1.000000
    0.400000     1.000000
    0.800000     1.000000
    1.200000     1.000000
    1.600000     1.000000
    2.000000     1.000000
    2.400000     1.000000
    2.800000     1.000000
    3.200000     1.000000
    3.600000     1.000000
    4.000000     1.000000
    4.400000     1.000000
    4.800000     1.000000
    5.200000     1.000000
    5.600000     1.000000
    6.000000     1.000000
    6.400000     1.000000
    6.800000     1.000000
    7.200000     1.000000
    7.600000     1.000000
    8.000000     1.000000
    8.400000     1.000000
    8.800000     1.000000
    9.200000     1.000000
    9.600000     1.000000
   10.000000     0.999608
