Vignetting Data

File : C:\Projects\MZDDE\zmx\ExUSP5668671C.Narcissus\GH003000.ZMX
Title: Ghost reflection off surface 3.
Date : MON DEC 20 2004


Field values are in Millimeters
Values are fraction of rays which were not vignetted.
Rays traced at each field: 2553

       Field     Fraction
    0.000000     1.000000
    0.400000     1.000000
    0.800000     0.999608
    1.200000     0.999217
    1.600000     0.998433
    2.000000     0.998042
    2.400000     0.997258
    2.800000     0.996475
    3.200000     0.995691
    3.600000     0.995691
    4.000000     0.994908
    4.400000     0.994908
    4.800000     0.994516
    5.200000     0.993341
    5.600000     0.992166
    6.000000     0.992166
    6.400000     0.990991
    6.800000     0.990208
    7.200000     0.989816
    7.600000     0.988249
    8.000000     0.987466
    8.400000     0.987074
    8.800000     0.986682
    9.200000     0.986291
    9.600000     0.985899
   10.000000     0.985899
