Vignetting Data

File : C:\Projects\MZDDE\zmx\ExUSP5668671C.Narcissus\GH002000.ZMX
Title: Ghost reflection off surface 2.
Date : MON DEC 20 2004


Field values are in Millimeters
Values are fraction of rays which were not vignetted.
Rays traced at each field: 2553

       Field     Fraction
    0.000000     0.923228
    0.400000     0.922444
    0.800000     0.920877
    1.200000     0.920877
    1.600000     0.920094
    2.000000     0.919311
    2.400000     0.919702
    2.800000     0.919702
    3.200000     0.918919
    3.600000     0.918919
    4.000000     0.919311
    4.400000     0.918527
    4.800000     0.919311
    5.200000     0.919702
    5.600000     0.919702
    6.000000     0.919311
    6.400000     0.921269
    6.800000     0.920486
    7.200000     0.921269
    7.600000     0.922444
    8.000000     0.922444
    8.400000     0.920877
    8.800000     0.920486
    9.200000     0.920877
    9.600000     0.919311
   10.000000     0.919702
