Vignetting Data

File : C:\Projects\MZDDE\zmx\ExUSP5668671C.Narcissus\GH009000.ZMX
Title: Ghost reflection off surface 9.
Date : MON DEC 20 2004


Field values are in Millimeters
Values are fraction of rays which were not vignetted.
Rays traced at each field: 2553

       Field     Fraction
    0.000000     0.743831
    0.400000     0.743047
    0.800000     0.743047
    1.200000     0.742656
    1.600000     0.743439
    2.000000     0.743831
    2.400000     0.743831
    2.800000     0.743831
    3.200000     0.743439
    3.600000     0.743439
    4.000000     0.742264
    4.400000     0.742264
    4.800000     0.741481
    5.200000     0.741481
    5.600000     0.741089
    6.000000     0.741089
    6.400000     0.740306
    6.800000     0.740306
    7.200000     0.739522
    7.600000     0.739522
    8.000000     0.738739
    8.400000     0.737955
    8.800000     0.737172
    9.200000     0.737172
    9.600000     0.737172
   10.000000     0.737172
