Vignetting Data

File : C:\Projects\MZDDE\zmx\ExUSP5668671C.Narcissus\GH011000.ZMX
Title: Ghost reflection off surface 11.
Date : MON DEC 20 2004


Field values are in Millimeters
Values are fraction of rays which were not vignetted.
Rays traced at each field: 2553

       Field     Fraction
    0.000000     0.976107
    0.400000     0.975715
    0.800000     0.971014
    1.200000     0.965531
    1.600000     0.957305
    2.000000     0.951038
    2.400000     0.942421
    2.800000     0.935370
    3.200000     0.927928
    3.600000     0.920094
    4.000000     0.912652
    4.400000     0.905210
    4.800000     0.896984
    5.200000     0.889542
    5.600000     0.881316
    6.000000     0.873874
    6.400000     0.865648
    6.800000     0.858206
    7.200000     0.849197
    7.600000     0.842146
    8.000000     0.833529
    8.400000     0.825695
    8.800000     0.817470
    9.200000     0.810027
    9.600000     0.801018
   10.000000     0.793576
