Vignetting Data

File : C:\Projects\MZDDE\zmx\ExUSP5668671C.Narcissus\GH004000.ZMX
Title: Ghost reflection off surface 4.
Date : MON DEC 20 2004


Field values are in Millimeters
Values are fraction of rays which were not vignetted.
Rays traced at each field: 2553

       Field     Fraction
    0.000000     0.779475
    0.400000     0.781042
    0.800000     0.781434
    1.200000     0.781042
    1.600000     0.780650
    2.000000     0.781825
    2.400000     0.779475
    2.800000     0.779475
    3.200000     0.781042
    3.600000     0.781434
    4.000000     0.780259
    4.400000     0.779867
    4.800000     0.781434
    5.200000     0.780259
    5.600000     0.779475
    6.000000     0.781042
    6.400000     0.781434
    6.800000     0.780650
    7.200000     0.780650
    7.600000     0.781825
    8.000000     0.779867
    8.400000     0.780259
    8.800000     0.781042
    9.200000     0.781434
    9.600000     0.781042
   10.000000     0.781434
