Vignetting Data

File : C:\Projects\MZDDE\zmx\ExUSP5668671C.Narcissus\GH003000.ZMX
Title: Ghost reflection off surface 3.
Date : MON DEC 20 2004


Field values are in Millimeters
Values are fraction of rays which were not vignetted.
Rays traced at each field: 2553

       Field     Fraction
    0.000000     0.894634
    0.400000     0.894242
    0.800000     0.893459
    1.200000     0.893067
    1.600000     0.893459
    2.000000     0.894242
    2.400000     0.894634
    2.800000     0.893459
    3.200000     0.893850
    3.600000     0.894242
    4.000000     0.894634
    4.400000     0.894242
    4.800000     0.893067
    5.200000     0.893850
    5.600000     0.894242
    6.000000     0.894634
    6.400000     0.894242
    6.800000     0.893850
    7.200000     0.893850
    7.600000     0.894242
    8.000000     0.895025
    8.400000     0.894634
    8.800000     0.894242
    9.200000     0.895025
    9.600000     0.894634
   10.000000     0.895417
