Vignetting Data

File : C:\Projects\MZDDE\zmx\ExUSP5668671C.Narcissus\GH004000.ZMX
Title: Ghost reflection off surface 4.
Date : MON DEC 20 2004


Field values are in Millimeters
Values are fraction of rays which were not vignetted.
Rays traced at each field: 2553

       Field     Fraction
    0.000000     0.874266
    0.400000     0.874266
    0.800000     0.874266
    1.200000     0.873482
    1.600000     0.873090
    2.000000     0.873482
    2.400000     0.874266
    2.800000     0.874657
    3.200000     0.874266
    3.600000     0.874266
    4.000000     0.874266
    4.400000     0.873482
    4.800000     0.873482
    5.200000     0.873482
    5.600000     0.874266
    6.000000     0.874657
    6.400000     0.874657
    6.800000     0.874266
    7.200000     0.874657
    7.600000     0.873874
    8.000000     0.874266
    8.400000     0.873482
    8.800000     0.873874
    9.200000     0.873090
    9.600000     0.872307
   10.000000     0.871132
