Vignetting Data

File : C:\Projects\MZDDE\zmx\ExUSP5668671C.Narcissus\GH006000.ZMX
Title: Ghost reflection off surface 6.
Date : MON DEC 20 2004


Field values are in Millimeters
Values are fraction of rays which were not vignetted.
Rays traced at each field: 2553

       Field     Fraction
    0.000000     0.618096
    0.400000     0.618096
    0.800000     0.616138
    1.200000     0.618096
    1.600000     0.619271
    2.000000     0.616530
    2.400000     0.615746
    2.800000     0.618880
    3.200000     0.618488
    3.600000     0.615746
    4.000000     0.616921
    4.400000     0.618880
    4.800000     0.617705
    5.200000     0.617313
    5.600000     0.618096
    6.000000     0.618096
    6.400000     0.618096
    6.800000     0.616138
    7.200000     0.618488
    7.600000     0.620055
    8.000000     0.616530
    8.400000     0.616138
    8.800000     0.620055
    9.200000     0.618488
    9.600000     0.616138
   10.000000     0.618488
