Vignetting Data

File : C:\Projects\MZDDE\zmx\ExUSP5668671C.Narcissus\GH008000.ZMX
Title: Ghost reflection off surface 8.
Date : MON DEC 20 2004


Field values are in Millimeters
Values are fraction of rays which were not vignetted.
Rays traced at each field: 2553

       Field     Fraction
    0.000000     0.587936
    0.400000     0.585586
    0.800000     0.585194
    1.200000     0.586761
    1.600000     0.585977
    2.000000     0.587544
    2.400000     0.585194
    2.800000     0.585194
    3.200000     0.587544
    3.600000     0.586761
    4.000000     0.586761
    4.400000     0.585194
    4.800000     0.585586
    5.200000     0.587936
    5.600000     0.585586
    6.000000     0.585194
    6.400000     0.586761
    6.800000     0.586761
    7.200000     0.587544
    7.600000     0.585194
    8.000000     0.585194
    8.400000     0.587544
    8.800000     0.586761
    9.200000     0.586761
    9.600000     0.585194
   10.000000     0.584410
