Vignetting Data

File : C:\Projects\MZDDE\zmx\ExUSP5668671C.Narcissus\GH007000.ZMX
Title: Ghost reflection off surface 7.
Date : MON DEC 20 2004


Field values are in Millimeters
Values are fraction of rays which were not vignetted.
Rays traced at each field: 2553

       Field     Fraction
    0.000000     0.674892
    0.400000     0.672934
    0.800000     0.674109
    1.200000     0.673717
    1.600000     0.674892
    2.000000     0.673325
    2.400000     0.673325
    2.800000     0.673717
    3.200000     0.674501
    3.600000     0.672934
    4.000000     0.673717
    4.400000     0.674501
    4.800000     0.674501
    5.200000     0.673717
    5.600000     0.673717
    6.000000     0.674501
    6.400000     0.674109
    6.800000     0.673325
    7.200000     0.674109
    7.600000     0.675284
    8.000000     0.674501
    8.400000     0.674501
    8.800000     0.673717
    9.200000     0.675676
    9.600000     0.674501
   10.000000     0.674501
