Vignetting Data

File : C:\Projects\MZDDE\zmx\ExUSP5668671C.Narcissus\GH007000.ZMX
Title: Ghost reflection off surface 7.
Date : MON DEC 20 2004


Field values are in Millimeters
Values are fraction of rays which were not vignetted.
Rays traced at each field: 2553

       Field     Fraction
    0.000000     0.603212
    0.400000     0.604779
    0.800000     0.605562
    1.200000     0.605170
    1.600000     0.604387
    2.000000     0.605954
    2.400000     0.605170
    2.800000     0.603995
    3.200000     0.604779
    3.600000     0.605562
    4.000000     0.604779
    4.400000     0.603995
    4.800000     0.605170
    5.200000     0.606737
    5.600000     0.604387
    6.000000     0.605170
    6.400000     0.605562
    6.800000     0.605562
    7.200000     0.604779
    7.600000     0.604779
    8.000000     0.605954
    8.400000     0.605170
    8.800000     0.604779
    9.200000     0.606737
    9.600000     0.606345
   10.000000     0.605170
