Vignetting Data

File : C:\Projects\MZDDE\zmx\ExUSP5668671C.Narcissus\GH006000.ZMX
Title: Ghost reflection off surface 6.
Date : MON DEC 20 2004


Field values are in Millimeters
Values are fraction of rays which were not vignetted.
Rays traced at each field: 2553

       Field     Fraction
    0.000000     0.687035
    0.400000     0.687818
    0.800000     0.690168
    1.200000     0.687427
    1.600000     0.687035
    2.000000     0.687818
    2.400000     0.690168
    2.800000     0.687427
    3.200000     0.687427
    3.600000     0.687818
    4.000000     0.690168
    4.400000     0.687818
    4.800000     0.687818
    5.200000     0.688210
    5.600000     0.690168
    6.000000     0.687818
    6.400000     0.688210
    6.800000     0.688210
    7.200000     0.690168
    7.600000     0.687818
    8.000000     0.688210
    8.400000     0.688602
    8.800000     0.690168
    9.200000     0.687818
    9.600000     0.688210
   10.000000     0.688602
