Vignetting Data

File : C:\Projects\MZDDE\zmx\ExUSP5668671C.Narcissus\GH011000.ZMX
Title: Ghost reflection off surface 11.
Date : MON DEC 20 2004


Field values are in Millimeters
Values are fraction of rays which were not vignetted.
Rays traced at each field: 2553

       Field     Fraction
    0.000000     0.940462
    0.400000     0.944771
    0.800000     0.939287
    1.200000     0.942029
    1.600000     0.932628
    2.000000     0.929495
    2.400000     0.919702
    2.800000     0.915002
    3.200000     0.904034
    3.600000     0.899726
    4.000000     0.888758
    4.400000     0.883666
    4.800000     0.873482
    5.200000     0.867607
    5.600000     0.858206
    6.000000     0.851939
    6.400000     0.842930
    6.800000     0.835096
    7.200000     0.826479
    7.600000     0.817861
    8.000000     0.810419
    8.400000     0.800627
    8.800000     0.794360
    9.200000     0.783000
    9.600000     0.776733
   10.000000     0.766549
