Vignetting Data

File : C:\Projects\MZDDE\zmx\ExUSP5668671C.Narcissus\GH013000.ZMX
Title: Ghost reflection off surface 13.
Date : MON DEC 20 2004


Field values are in Millimeters
Values are fraction of rays which were not vignetted.
Rays traced at each field: 2553

       Field     Fraction
    0.000000     0.062671
    0.400000     0.064238
    0.800000     0.063846
    1.200000     0.062671
    1.600000     0.064238
    2.000000     0.062671
    2.400000     0.063846
    2.800000     0.064238
    3.200000     0.062671
    3.600000     0.064238
    4.000000     0.063846
    4.400000     0.062671
    4.800000     0.064238
    5.200000     0.062671
    5.600000     0.063846
    6.000000     0.064238
    6.400000     0.063455
    6.800000     0.064238
    7.200000     0.063846
    7.600000     0.063455
    8.000000     0.064238
    8.400000     0.063846
    8.800000     0.064238
    9.200000     0.064238
    9.600000     0.063455
   10.000000     0.064238
