5.196377929999999878e+01 -7.158569049999999834e+01 5.013499470000000002e+01 -1.265876580000000047e+02 2.095120159999999885e+02 -2.303387189999999975e+02
4.668219950000000296e+01 -6.447892369999999573e+01 4.520472079999999693e+01 -1.138756410000000017e+02 1.879044949999999972e+02 -2.075248929999999916e+02
4.142003609999999725e+01 -5.736109350000000262e+01 4.025567190000000295e+01 -1.011751359999999949e+02 1.664412169999999946e+02 -1.846626950000000136e+02
3.617710540000000208e+01 -5.023203360000000117e+01 3.528795240000000177e+01 -8.848626330000000451e+01 1.451227680000000078e+02 -1.617519059999999911e+02
3.095322529999999972e+01 -4.309157689999999974e+01 3.030166679999999957e+01 -7.580914389999999514e+01 1.239497439999999955e+02 -1.387923169999999971e+02
2.574821520000000064e+01 -3.593955509999999975e+01 2.529692049999999881e+01 -6.314389820000000242e+01 1.029227479999999986e+02 -1.157837349999999930e+02
2.056189609999999846e+01 -2.877579880000000045e+01 2.027381919999999838e+01 -5.049064669999999921e+01 8.204239370000000520e+01 -9.272597639999999330e+01
1.539409039999999962e+01 -2.160013749999999888e+01 1.523246929999999999e+01 -3.784951019999999744e+01 6.130930519999999717e+01 -6.961887289999999950e+01
1.024462199999999967e+01 -1.441239939999999997e+01 1.017297770000000057e+01 -2.522060959999999952e+01 4.072411439999999772e+01 -4.646226860000000158e+01
5.113316229999999685e+00 -7.212411570000000438e+00 5.095451930000000296e+00 -1.260406590000000016e+01 2.028746260000000134e+01 -2.325602080000000171e+01
1.133399780000000037e-14 0.000000000000000000e+00 1.133399790000000035e-14 -6.211775030000000414e-32 4.488109690000000167e-14 7.741153490000000484e-48
-5.095498469999999891e+00 7.225010639999999817e+00 -5.113269530000000174e+00 1.259146690000000035e+01 -2.013761450000000153e+01 2.330590989999999962e+01
-1.017334950000000049e+01 1.446279690000000073e+01 -1.024424750000000017e+01 2.517021360000000030e+01 -4.012471320000000219e+01 4.666181170000000122e+01
-1.523372209999999960e+01 2.171353650000000002e+01 -1.539282440000000030e+01 3.773611890000000102e+01 -5.996062009999999987e+01 7.006779480000000149e+01
-2.027678369999999930e+01 2.897740860000000040e+01 -2.055888990000000049e+01 5.028906140000000136e+01 -7.964465049999999735e+01 9.352393490000000043e+01
-2.530270060000000143e+01 3.625459349999999858e+01 -2.574233329999999853e+01 6.282891980000000132e+01 -9.917611170000000698e+01 1.170302939999999978e+02
-3.031163769999999857e+01 4.354527269999999817e+01 -3.094304340000000053e+01 7.535557249999999385e+01 -1.185543030000000044e+02 1.405869209999999896e+02
-3.530375839999999954e+01 5.084962920000000253e+01 -3.616090830000000267e+01 8.786889809999999557e+01 -1.377785149999999987e+02 1.641938509999999951e+02
-4.027922509999999789e+01 5.816784729999999826e+01 -4.139581590000000233e+01 1.003687749999999994e+02 -1.568480309999999918e+02 1.878511039999999923e+02
-4.523819850000000287e+01 6.550011259999999425e+01 -4.664765309999999943e+01 1.128550819999999959e+02 -1.757621269999999924e+02 2.115586869999999919e+02
-5.018083839999999896e+01 7.284661210000000153e+01 -5.191630680000000098e+01 1.253276970000000006e+02 -1.945200710000000015e+02 2.353165940000000091e+02
